YEAR|LOAD_DATE|PM04901AA|PM04902AA|PM04903AA|PM04904AA|PM04905AA|PM04906AA|PM04907AA
2020|2022-09-07|486402.0862783|-14748.8775165815|471653.208761718|4700.53328360059|476353.742045319|11922.8519000341|488276.593945353
2021|2022-09-07|552310.134267616|-46045.7306272063|506264.40364041|20360.5128429133|526624.916483323|13618.8491262505|540243.765609574
